provincia_nombre,anio,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,precipitacion_total,temperatura_media,humedad_relativa
Córdoba,1989,1410000,1340000,2650000,1977.6119402985075,728.36,18.0,62.6
Córdoba,1990,1250000,1185300,2642300,2229.224668860204,1042.49,16.89,71.62
Córdoba,1991,1326200,1317800,2969100,2253.073303991501,1081.09,16.72,74.01
Córdoba,1992,1380800,1357700,3183600,2344.84790454445,931.79,16.34,70.31
Córdoba,1993,1564200,1552800,3032900,1953.1813498196807,1158.0,16.05,73.55
Córdoba,1994,1596500,1563100,2658700,1700.9148486980998,941.76,16.81,70.53
Córdoba,1995,1711500,1686800,3479400,2062.722314441546,806.55,16.45,64.45
Córdoba,1996,1901300,1818700,2906200,1597.954582943861,870.71,16.77,66.18
Córdoba,1997,2096800,2070300,5820700,2811.5248997729796,1035.29,17.69,64.91
Córdoba,1998,2564600,2459950,5263300,2139.596333258806,1238.72,15.88,76.59
Córdoba,1999,2726681,2705081,6928610,2561.331804851685,1096.1,15.97,72.43
Córdoba,2000,3151500,3088960,8154199,2639.7878250284884,963.6,16.12,72.9
Córdoba,2001,3455901,3447371,9658300,2801.6421789241713,1068.32,16.9,73.85
Córdoba,2002,3564351,3543401,9851101,2780.125929862299,783.76,16.89,69.42
Córdoba,2003,4172940,4128670,8376201,2028.7891742377085,670.31,17.17,65.49
Córdoba,2004,3981146,3925910,11190869,2850.515931338212,1090.0,16.87,69.62
Córdoba,2005,4343718,4273718,11123165,2602.6904442455025,745.69,16.54,67.35
Córdoba,2006,4477882,4447482,14173030,3186.7537631405817,952.0,17.35,64.32
Córdoba,2007,4704680,4665980,12763880,2735.519655034955,852.37,15.78,71.82
Córdoba,2008,5195291,5127001,11168757,2178.4191187011666,766.2,17.42,63.56
Córdoba,2009,5129240,5034290,13011805,2584.635569265974,908.1,17.63,59.33
Córdoba,2010,5047612,5033512,12230176,2429.750043309721,800.75,16.26,69.19
Córdoba,2011,5013251,4856851,9783900,2014.453397890938,719.51,16.9,63.85
Córdoba,2012,5349312,5256042,13180784,2507.739473923534,1178.04,16.96,70.38
Córdoba,2013,5052760,4965360,14917671,3004.3483251969647,733.47,16.85,65.71
Córdoba,2014,5413330,5284530,18619067,3523.315602333604,1033.42,17.06,70.89
Córdoba,2015,5579530,5299930,17922969,3381.736928600944,1067.4,16.9,74.14
Córdoba,2016,4871202,4772498,15659788,3281.2560633865114,1139.21,16.24,75.92
Córdoba,2017,4463610,4181879,10732887,2566.522608616844,1015.25,16.88,73.96
Córdoba,2018,4454424,4352011,15355555,3528.3814769769656,822.18,17.6,65.77
Córdoba,2019,4525544,4491912,13467681,2998.206776980493,836.27,17.12,68.12
Córdoba,2020,4269777,4226048,13625152,3224.088320814151,787.79,16.98,65.28
Córdoba,2021,4212534,4172550,11910526,2854.495692082779,989.68,17.02,69.03
Córdoba,2022,4198034,3983383,6264013,1572.5359575014504,607.48,17.11,60.6
Córdoba,2023,4136553,4118583,12662372,3074.4486635330645,1100.0,18.4,62.03
Entre Ríos,1981,10700,9700,14600,1505.1546391752577,1055.55,17.73,74.41
Entre Ríos,1982,13100,13100,20600,1572.5190839694656,1077.98,17.82,71.45
Entre Ríos,1983,22000,22000,36200,1645.4545454545455,903.38,17.56,71.11
Entre Ríos,1984,20000,20000,26000,1300.0,1417.61,16.81,77.39
Entre Ríos,1985,27200,26750,53700,2007.4766355140187,1196.6,18.11,72.64
Entre Ríos,1986,34700,32950,54800,1663.1259484066768,1216.6,17.9,74.55
Entre Ríos,1987,48300,46880,87000,1855.8020477815699,1175.2,17.53,73.25
Entre Ríos,1988,48000,35950,54000,1502.0862308762169,1073.27,17.16,69.57
Entre Ríos,1989,51000,51000,115000,2254.901960784314,1126.3,18.3,68.11
Entre Ríos,1990,54800,51000,81800,1603.921568627451,1405.82,17.19,77.05
Entre Ríos,1991,54600,49600,108700,2191.532258064516,1340.79,17.75,74.26
Entre Ríos,1992,75050,73870,152300,2061.730066332747,959.5,17.25,72.52
Entre Ríos,1993,94100,92050,183800,1996.7409016838674,1516.95,17.06,75.48
Entre Ríos,1994,127000,126520,305750,2416.613974075245,812.9,18.23,69.22
Entre Ríos,1995,149000,141900,308220,2172.093023255814,872.75,17.45,66.51
Entre Ríos,1996,219300,208300,281450,1351.1761881901105,932.27,17.79,68.2
Entre Ríos,1997,272000,264900,727200,2745.1868629671576,1087.28,18.21,69.31
Entre Ríos,1998,389800,376900,764500,2028.3894932342796,990.16,17.33,72.95
Entre Ríos,1999,364100,315493,535000,1695.7587014608882,902.76,17.43,69.72
Entre Ríos,2000,579500,577400,1658000,2871.492899203325,1505.23,17.05,74.76
Entre Ríos,2001,814900,788100,1914900,2429.767795964979,1487.96,17.72,78.04
Entre Ríos,2002,1055000,1047400,2809000,2681.8789383234675,1419.38,17.29,77.15
Entre Ríos,2003,1196700,1190100,2307370,1938.8034618939585,1159.1,17.08,74.61
Entre Ríos,2004,1242812,1239782,3053868,2463.229825888745,944.9,17.99,70.2
Entre Ríos,2005,1302700,1293400,2801724,2166.1697850626256,937.61,17.65,70.85
Entre Ríos,2006,1435600,1420650,3927476,2764.562700172456,1167.64,18.02,69.86
Entre Ríos,2007,1423000,1410445,3289065,2331.9342477019663,1404.06,16.44,76.88
Entre Ríos,2008,1241400,947485,1143899,1207.300379425532,603.4,18.62,64.18
Entre Ríos,2009,1468000,1465500,4038205,2755.5134766291367,1397.66,17.69,68.34
Entre Ríos,2010,1468000,1465000,3597310,2455.5017064846415,1154.88,17.06,74.55
Entre Ríos,2011,1331700,1325200,3099513,2338.902052520374,956.46,17.29,69.75
Entre Ríos,2012,1418600,1417550,3528855,2489.4042538182075,1597.2,17.44,75.2
Entre Ríos,2013,1504900,1502400,3974603,2645.502529286475,938.04,17.41,69.71
Entre Ríos,2014,1564990,1560690,4324895,2771.142891926007,1594.11,17.22,77.26
Entre Ríos,2015,1466000,1313500,2561150,1949.8667681766274,1069.02,18.01,71.91
Entre Ríos,2016,1326400,1319150,3701589,2806.041011257249,1185.43,17.32,74.37
Entre Ríos,2017,1319900,1185200,1368200,1154.4043199460007,1353.84,17.93,76.23
Entre Ríos,2018,1177700,1171200,3252276,2776.875,1308.03,17.87,73.59
Entre Ríos,2019,1164550,1158550,2489320,2148.6513314056365,1184.21,17.34,75.76
Entre Ríos,2020,1112620,1090820,1974518,1810.1226600172347,889.17,18.03,66.9
Entre Ríos,2021,1084100,1077600,2565755,2380.9901633259096,847.19,18.24,68.77
Entre Ríos,2022,973500,653800,634952,971.1716121137963,1009.74,17.57,67.71
Entre Ríos,2023,1091400,1091400,2712145,2485.0146600696353,920.34,18.93,65.23
Formosa,1981,1100,1100,2700,2454.5454545454545,1455.02,22.13,73.34
Formosa,1982,850,0,0,,1370.39,22.93,69.23
Formosa,1983,5500,5500,11000,2000.0,1213.11,22.31,68.62
Formosa,1984,1400,1250,3100,2480.0,1371.78,23.48,66.2
Formosa,1985,4200,4200,9180,2185.714285714286,994.95,24.1,60.31
Formosa,1986,5500,4700,9900,2106.3829787234044,1474.65,23.83,64.56
Formosa,1987,7000,7000,10500,1500.0,1072.05,22.9,62.99
Formosa,1988,10000,6000,15000,2500.0,1155.55,22.6,61.61
Formosa,1989,6000,4000,6000,1500.0,1372.72,22.4,68.75
Formosa,1990,1200,900,1500,1666.6666666666667,1415.84,22.91,69.91
Formosa,1991,1600,900,1400,1555.5555555555557,1558.93,22.67,69.53
Formosa,1992,1760,1160,1200,1034.4827586206898,1853.64,21.61,75.71
Formosa,1993,1020,970,1800,1855.6701030927834,974.34,22.72,64.74
Formosa,1994,1500,1500,3200,2133.3333333333335,1273.74,23.5,65.08
Formosa,1995,1000,1000,2000,2000.0,828.41,23.86,57.55
Formosa,1996,1000,1000,1000,1000.0,1311.27,22.72,66.07
Formosa,1997,1400,700,1200,1714.2857142857142,862.83,24.76,57.63
Formosa,1998,1900,1900,5700,3000.0,1308.7,22.55,70.48
Formosa,1999,1100,800,1300,1625.0,1029.88,23.0,61.04
Formosa,2000,1100,800,1200,1500.0,1258.24,22.82,65.61
Formosa,2001,7331,7331,18400,2509.8895102987312,909.13,23.84,62.33
Formosa,2002,8530,7810,15100,1933.4186939820743,1246.93,23.81,65.33
Formosa,2003,11838,11838,21568,1821.9293799628315,1031.32,23.9,59.75
Formosa,2004,13733,13279,41340,3113.1862339031554,1091.35,23.31,61.18
Formosa,2005,11940,11940,25192,2109.8827470686765,882.53,23.51,60.86
Formosa,2006,22598,22598,48319,2138.198070625719,1082.32,24.15,61.31
Formosa,2007,6095,6095,12132,1990.4840032813781,1009.82,22.9,63.22
Formosa,2008,6100,3100,4650,1500.0,942.03,23.27,59.52
Formosa,2009,6100,3100,4650,1500.0,743.33,24.08,57.98
Formosa,2010,6100,3100,4650,1500.0,1007.51,22.43,65.01
Formosa,2011,12000,12000,11400,950.0,1141.03,22.74,65.3
Formosa,2012,10000,10000,12000,1200.0,949.2,23.88,62.16
Formosa,2013,15000,15000,30000,2000.0,836.83,23.33,61.01
Formosa,2014,17900,17900,35800,2000.0,1201.41,23.57,69.04
Formosa,2015,17900,17900,35800,2000.0,1357.03,23.54,70.6
Formosa,2016,18500,18050,45125,2500.0,1238.46,22.08,70.87
Formosa,2017,25000,24500,61250,2500.0,1107.59,23.58,67.27
Formosa,2018,25000,24200,60500,2500.0,1088.4,23.38,65.8
Formosa,2019,25000,7000,17500,2500.0,1318.7,22.75,71.56
Formosa,2020,9738,3396,8490,2500.0,919.88,24.16,55.32
Formosa,2021,20179,13735,28712,2090.425919184565,884.21,23.42,60.38
Formosa,2022,15520,15520,30050,1936.2113402061855,719.6,23.77,55.31
Formosa,2023,16513,16513,16513,1000.0,917.59,25.29,60.98
Jujuy,1981,200,200,400,2000.0,1061.44,19.4,66.52
Jujuy,1982,300,300,460,1533.3333333333333,847.66,19.84,63.05
Jujuy,1983,400,400,500,1250.0,702.08,19.59,59.85
Jujuy,1984,1800,1800,3000,1666.6666666666667,1098.23,19.53,65.5
Jujuy,1985,1600,1600,2880,1800.0,1046.43,20.2,60.48
Jujuy,1986,700,700,1200,1714.2857142857142,822.69,20.74,57.17
Jujuy,1987,5000,5000,10000,2000.0,801.13,19.66,58.06
Jujuy,1988,5000,2000,3400,1700.0,897.55,19.28,60.58
Jujuy,1989,4000,4000,10000,2500.0,845.72,19.77,58.57
Jujuy,1990,4000,4000,9000,2250.0,980.61,19.69,60.45
Jujuy,1991,5500,5400,11400,2111.1111111111113,984.81,19.77,63.62
