provincia;anio;precipitacion_total;temperatura_media;humedad_relativa
San Luis;1993;346.43;18.02;49.5
San Luis;1994;666.17;18.47;52.58
San Luis;1995;441.31;18.35;45.17
San Luis;1996;575.34;17.83;52.39
San Luis;1997;632.84;18.76;51.66
San Luis;1998;676.31;17.42;58.87
San Luis;1999;792.44;17.06;57.49
San Luis;2000;752.35;16.79;59.85
San Luis;2001;779.23;17.66;59.67
San Luis;2002;690.45;17.86;54.9
San Luis;2003;396.47;18.49;49.64
San Luis;2004;858.54;17.73;55.93
San Luis;2005;589.23;17.32;55.49
San Luis;2006;726.88;18.44;51.55
San Luis;2007;824.45;16.51;58.17
San Luis;2008;1119.18;17.18;59.09
San Luis;2009;496.61;18.29;48.5
San Luis;2010;610.46;17.13;54.96
San Luis;2011;579.18;17.4;53.03
San Luis;2012;559.77;18.24;53.36
San Luis;2013;583.71;17.91;50.91
San Luis;2014;727.79;17.82;57.94
San Luis;2015;880.96;17.73;62.82
San Luis;2016;815.68;17.14;62.09
San Luis;2017;724.73;18.01;56.79
San Luis;2018;662.09;18.0;53.98
San Luis;2019;488.22;18.11;54.79
San Luis;2020;418.87;18.86;46.64
San Luis;2021;717.97;17.68;57.22
San Luis;2022;441.9;18.11;46.52
San Luis;2023;411.16;19.47;51.76
Santa Fe;1981;1115.48;17.85;72.37
Santa Fe;1982;857.58;18.21;67.18
Santa Fe;1983;846.29;17.51;69.38
Santa Fe;1984;1158.79;16.89;75.14
Santa Fe;1985;907.53;18.24;69.71
Santa Fe;1986;1013.92;18.23;70.9
Santa Fe;1987;1038.26;17.64;70.71
Santa Fe;1988;802.43;17.51;65.65
Santa Fe;1989;875.83;18.67;63.91
Santa Fe;1990;1315.89;17.54;72.79
Santa Fe;1991;1272.06;17.83;71.77
Santa Fe;1992;977.52;17.2;69.83
Santa Fe;1993;1262.64;17.09;71.76
Santa Fe;1994;884.93;18.08;67.6
Santa Fe;1995;842.45;17.61;62.36
Santa Fe;1996;972.1;17.75;65.32
Santa Fe;1997;882.95;18.62;64.3
Santa Fe;1998;977.64;17.31;70.52
Santa Fe;1999;880.51;17.51;66.13
Santa Fe;2000;1484.13;16.78;73.13
Santa Fe;2001;1343.25;17.37;76.42
Santa Fe;2002;1294.29;17.15;74.29
Santa Fe;2003;930.72;17.15;71.25
Santa Fe;2004;907.42;17.87;67.59
Santa Fe;2005;943.51;17.49;67.93
Santa Fe;2006;1203.95;17.94;67.47
Santa Fe;2007;1140.54;16.21;74.39
Santa Fe;2008;546.28;18.54;61.27
Santa Fe;2009;1314.9;17.92;64.01
Santa Fe;2010;1065.16;16.85;71.69
Santa Fe;2011;981.62;17.27;67.29
Santa Fe;2012;1485.52;17.5;71.87
Santa Fe;2013;873.98;17.33;67.5
Santa Fe;2014;1098.96;17.54;72.0
Santa Fe;2015;1086.98;17.9;70.8
Santa Fe;2016;1242.25;17.1;73.37
Santa Fe;2017;1150.52;17.76;73.3
Santa Fe;2018;1024.8;18.16;68.51
Santa Fe;2019;1031.33;17.47;72.39
Santa Fe;2020;725.51;17.97;64.1
Santa Fe;2021;848.82;18.2;65.93
Santa Fe;2022;603.42;17.99;61.72
Santa Fe;2023;932.82;19.13;63.28
Santiago del Estero;1981;753.19;23.01;60.4
Santiago del Estero;1982;912.62;22.95;61.23
Santiago del Estero;1983;694.15;22.29;59.17
Santiago del Estero;1984;670.3;22.64;61.37
Santiago del Estero;1985;723.86;23.81;55.21
Santiago del Estero;1986;558.78;24.3;55.45
Santiago del Estero;1987;640.04;23.08;53.74
Santiago del Estero;1988;377.57;23.2;49.48
